date AgR received,Date CRB collected,Country,collection site,Treatment,sex,OrNV status,CRBhaplotype,Aubrey tube no.
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,1
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,2
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,6
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,7
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,8
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,10
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,12
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,15
2023-10-19,2023-07-12,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,16
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,21
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,no,CRB-G,27
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,28
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,29
2023-10-19,2023-08-02,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,32
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",CONTROL,f,failed,failed,36
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",CONTROL,m,no,CRB-G,39
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,3
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,yes,CRB-G,9
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,11
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",DUG42,f,failed,failed,13
2023-10-19,2023-07-14,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,19
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",DUG42,m,yes,CRB-G,23
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,24
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",DUG42,m,no,CRB-G,25
2023-10-19,2023-08-08,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,26
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,30
2023-10-19,2023-07-20,Guam,"Leo Palace Golf Course, Guam",DUG42,f,no,CRB-G,31
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",PNG,m,no,CRB-G,14
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",PNG,m,no,CRB-G,17
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",PNG,f,yes,CRB-G,33
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",PNG,f,yes,CRB-G,35
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",V23B,m,no,CRB-G,20
2023-10-19,2023-07-24,Guam,"Leo Palace Golf Course, Guam",V23B,f,yes,CRB-G,22
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",V23B,m,yes,CRB-G,38
2023-10-19,2023-07-29,Guam,"Leo Palace Golf Course, Guam",X2B,f,no,CRB-G,4
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,m,no,CRB-G,5
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,f,failed,failed,18
2023-10-19,2023-07-17,Guam,"Leo Palace Golf Course, Guam",X2B,f,yes,CRB-G,34
2023-10-19,2023-07-31,Guam,"Leo Palace Golf Course, Guam",X2B,f,no,CRB-G,37
